00-0034869,Sam,Darnold,QB,4319,35,12,67,212,1,3,0,0,0,693
00-0034928,Steven,Sims,WR,0,0,0,1,0,0,0,0,0,0,698
00-0034959,Andrew,Beck,FB,0,0,0,0,0,0,0,0,0,0,705
00-0034960,Jakobi,Meyers,WR,0,0,0,2,23,0,0,87,1027,4,706
00-0034972,Alexander,Mattison,RB,0,0,0,132,420,4,1,36,294,1,711
00-0034974,Julian,Love,SS,0,0,0,1,2,0,0,0,0,0,713
00-0034975,Justice,Hill,RB,0,0,0,47,228,1,0,42,383,3,714
00-0034981,Foster,Moreau,TE,0,0,0,0,0,0,0,32,413,5,717
00-0035021,Ashton,Dulin,WR,0,0,0,5,45,0,0,2,67,1,729
00-0035100,Jake,Browning,QB,0,0,0,2,-2,0,0,0,0,0,742
00-0035125,Alec,Ingold,FB,0,0,0,10,17,1,2,11,96,0,748
00-0035140,Mecole,Hardman,WR,0,0,0,5,62,1,0,12,90,0,752
00-0035156,Jack,Fox,P,17,0,0,0,0,0,0,0,0,0,759
00-0035190,A.J.,Cole,P,34,0,0,0,0,0,0,0,0,0,766
00-0035208,Olamide,Zaccheaus,WR,0,0,0,1,8,0,0,45,506,3,769
00-0035216,Diontae,Johnson,WR,0,0,0,2,6,0,0,33,375,3,771
00-0035228,Kyler,Murray,QB,3851,21,11,78,572,5,4,0,0,0,775
00-0035229,T.J.,Hockenson,TE,0,0,0,0,0,0,0,41,455,0,776
00-0035243,Miles,Sanders,RB,0,0,0,55,205,2,0,24,148,1,789
00-0035249,Josh,Oliver,TE,0,0,0,0,0,0,0,22,258,3,794
00-0035250,Devin,Singletary,RB,0,0,0,113,437,4,2,21,119,0,795
00-0035261,Tony,Pollard,RB,0,0,0,260,1079,5,2,41,238,0,803
00-0035264,Jarrett,Stidham,QB,0,0,0,4,5,0,0,0,0,0,805
00-0035280,Jake,Bailey,P,0,0,0,1,0,0,0,0,0,0,815
00-0035289,Gardner,Minshew,QB,2013,9,10,19,58,0,2,0,0,0,818
00-0035298,Scott,Miller,WR,0,0,0,0,0,0,0,5,69,0,823
00-0035311,Myles,Gaskin,RB,0,0,0,3,-1,0,0,1,11,0,827
00-0035341,Trenton,Irwin,WR,0,0,0,0,0,0,0,3,15,0,835
00-0035406,Lil'Jordan,Humphrey,WR,0,0,0,0,0,0,0,31,293,1,854
00-0035500,Greg,Dortch,WR,0,0,0,5,31,0,1,37,342,3,871
00-0035535,Darius,Slayton,WR,0,0,0,2,17,0,0,39,573,2,879
00-0035537,Ty,Johnson,RB,0,0,0,41,213,1,0,18,284,3,880
00-0035544,Tom,Kennedy,WR,0,0,0,0,0,0,0,0,0,0,882
00-0035547,Joseph,Fortson,TE,0,0,0,0,0,0,0,1,5,0,883
00-0035567,Craig,Reynolds,RB,0,0,0,31,139,0,1,3,40,0,885
00-0035594,Travis,Homer,RB,0,0,0,6,23,0,0,3,11,0,890
00-0035602,Alex,Bachman,WR,0,0,0,0,0,0,0,3,31,0,891
00-0035628,D'Ernest,Johnson,RB,0,0,0,32,143,0,0,12,96,0,897
00-0035631,Drew,Sample,TE,0,0,0,1,-4,0,0,20,109,1,900
00-0035639,Parris,Campbell,WR,0,0,0,0,0,0,0,6,30,1,905
00-0035640,DK,Metcalf,WR,0,0,0,0,0,0,0,66,992,5,906
00-0035644,Noah,Fant,TE,0,0,0,0,0,0,0,48,500,1,909
00-0035659,Terry,McLaurin,WR,0,0,0,2,2,0,1,82,1096,13,916
00-0035662,Marquise,Brown,WR,0,0,0,0,0,0,0,9,91,0,917
00-0035676,A.J.,Brown,WR,0,0,0,0,0,0,0,67,1079,7,925
00-0035685,David,Montgomery,RB,3,1,0,185,775,12,2,36,341,0,931
00-0035689,Dawson,Knox,TE,0,0,0,0,0,0,0,22,311,1,935
00-0035700,Josh,Jacobs,RB,0,0,0,301,1329,15,4,36,342,1,943
00-0035704,Drew,Lock,QB,1071,6,5,18,133,2,1,0,0,0,947
00-0035710,Daniel,Jones,QB,2070,8,7,67,265,2,0,0,0,0,951
00-0035719,Deebo,Samuel,WR,0,0,0,42,136,1,0,51,670,3,955
00-0035795,James,Pierre,CB,0,0,0,0,0,0,0,0,0,0,964
00-0035806,Jamycal,Hasty,RB,0,0,0,20,69,0,0,10,59,1,966
00-0035860,Tony,Jones,RB,0,0,0,4,55,1,0,0,0,0,977
00-0035891,Cody,White,WR,0,0,0,0,0,0,0,2,44,0,984
00-0035924,Jonathan,Ward,RB,0,0,0,5,22,0,0,0,0,0,992
00-0035973,Patrick,Taylor,RB,0,0,0,39,183,1,0,3,25,0,1004
00-0035976,Dan,Chisena,WR,0,0,0,0,0,0,0,3,37,0,1005
00-0035993,Tyler,Huntley,QB,829,3,3,26,135,2,2,0,0,0,1008
00-0036037,Sam,Franklin,SS,0,0,0,0,0,0,0,0,0,0,1018
00-0036040,Juwan,Johnson,TE,0,0,0,0,0,0,0,50,548,3,1019
00-0036096,J.J.,Taylor,RB,0,0,0,10,44,0,0,2,0,0,1029
00-0036133,James,Proche,WR,0,0,0,0,0,0,0,3,21,0,1039
00-0036139,Rico,Dowdle,RB,0,0,0,235,1079,2,3,39,249,3,1040
00-0036158,J.K.,Dobbins,RB,0,0,0,195,905,9,0,32,153,0,1048
00-0036165,Isaiah,Hodgins,WR,0,0,0,0,0,0,0,2,12,0,1052
00-0036176,Mason,Kinsey,WR,0,0,0,0,0,0,0,2,17,0,1057
00-0036182,Nick,Westbrook-Ikhine,WR,0,0,0,0,0,0,0,32,497,9,1059
00-0036183,Kristian,Wilkerson,WR,0,0,0,0,0,0,0,2,18,1,1060
00-0036187,Reggie,Gilliam,FB,0,0,0,3,7,0,0,0,0,0,1061
00-0036196,Gabe,Davis,WR,0,0,0,0,0,0,0,20,239,2,1065
